date,variable,actual,simulated
2019-03-01,Rmort,0.0537,0.09377911056052314
2019-06-01,Rmort,0.052967,0.0954966003047589
2019-09-01,Rmort,0.0494,0.09757062745467507
2019-12-01,Rmort,0.048,0.09776071832034898
2020-03-01,Rmort,0.047067,0.09582970198875904
2020-06-01,Rmort,0.0452,0.07442193425647206
2020-09-01,Rmort,0.0452,0.08960086261170751
2020-12-01,Rmort,0.0452,0.0794997749901235
2021-03-01,Rmort,0.0452,0.07714941146015891
2021-06-01,Rmort,0.0452,0.09129931468558125
2021-09-01,Rmort,0.0452,0.10632701070871085
2021-12-01,Rmort,0.0452,0.11667392600848779
2022-03-01,Rmort,0.0452,0.12771230569920525
2022-06-01,Rmort,0.048533,0.13698926351060364
2022-09-01,Rmort,0.0627,0.14229043239575245
2022-12-01,Rmort,0.0727,0.14665734290734972
2023-03-01,Rmort,0.0777,0.14818751301785937
2023-06-01,Rmort,0.0827,0.14963246597999244
2023-09-01,Rmort,0.0852,0.15125501005442704
2023-12-01,Rmort,0.086867,0.15052356055410573
2024-03-01,Rmort,0.0877,0.14977626827502785
2024-06-01,Rmort,0.0877,0.14960218958303848
2024-09-01,Rmort,0.0877,0.1521549764674408
2024-12-01,Rmort,0.0877,0.15087522764741304
2010-03-01,PcpiRent,67.34,67.2692112106923
2010-06-01,PcpiRent,68.13,67.65826614306236
2010-09-01,PcpiRent,68.87,68.20173510627478
2010-12-01,PcpiRent,69.47,68.69703425164566
2011-03-01,PcpiRent,70.39,69.2494819407471
2011-06-01,PcpiRent,71.18,69.7502903693895
2011-09-01,PcpiRent,72.05,70.35836858325875
2011-12-01,PcpiRent,72.78,70.879200275963
2012-03-01,PcpiRent,73.49,71.50086999342624
2012-06-01,PcpiRent,74.31,72.22293115286254
2012-09-01,PcpiRent,74.93,72.84795026799041
2012-12-01,PcpiRent,75.5,73.5688631283601
2013-03-01,PcpiRent,76.1,74.29106941480403
2013-06-01,PcpiRent,76.88,75.03459724146624
2013-09-01,PcpiRent,77.35,75.92865721127403
2013-12-01,PcpiRent,77.78,76.42626719320606
2014-03-01,PcpiRent,78.26,77.1680723300316
2014-06-01,PcpiRent,78.75,77.94586700302148
2014-09-01,PcpiRent,79.22,78.75469533586588
2014-12-01,PcpiRent,79.63,79.43397797341308
2015-03-01,PcpiRent,79.87,80.2834878963295
2015-06-01,PcpiRent,80.17,81.09425652833876
2015-09-01,PcpiRent,80.42,81.87510790724411
2015-12-01,PcpiRent,80.58,82.69449475273336
2016-03-01,PcpiRent,80.6,83.5808710348147
2016-06-01,PcpiRent,80.76,84.45380572259843
2016-09-01,PcpiRent,81,85.35795554002239
2016-12-01,PcpiRent,81.07,86.33460680364007
2017-03-01,PcpiRent,81.13,87.37827115725088
2017-06-01,PcpiRent,81.27,88.40089390966267
2017-09-01,PcpiRent,81.43,89.42225637790519
2017-12-01,PcpiRent,81.62,90.45440434037373
2018-03-01,PcpiRent,81.83,91.48322765350984
2018-06-01,PcpiRent,81.83,92.52421807177869
2018-09-01,PcpiRent,81.96,93.66948094250978
2018-12-01,PcpiRent,82.09,94.6780236100149
2019-03-01,PcpiRent,82.15,95.87299413817486
2019-06-01,PcpiRent,82.19,96.98530689237313
2019-09-01,PcpiRent,82.23,98.16631703965666
2019-12-01,PcpiRent,82.24,99.33341595697952
2020-03-01,PcpiRent,82.29,100.61065796952944
2020-06-01,PcpiRent,81.22,101.5844114143591
2020-09-01,PcpiRent,81.03,102.47734335921716
2020-12-01,PcpiRent,81.14,102.54772532387832
2021-03-01,PcpiRent,81.14,103.49400025393425
2021-06-01,PcpiRent,81.19,104.01116290352861
2021-09-01,PcpiRent,81.32,104.67021764009957
2021-12-01,PcpiRent,81.4,105.51387463999612
2022-03-01,PcpiRent,81.95,106.91785511218671
2022-06-01,PcpiRent,82.49,108.40347753730778
2022-09-01,PcpiRent,83.62,110.24074763628123
2022-12-01,PcpiRent,84.62,112.2655756503695
2023-03-01,PcpiRent,85.97,114.54549533652258
2023-06-01,PcpiRent,88.1,116.820610580068
2023-09-01,PcpiRent,90.01,119.16030524084897
2023-12-01,PcpiRent,90.8,121.36076025241951
2024-03-01,PcpiRent,92.7,123.67492619983908
2024-06-01,PcpiRent,94.5,125.67179374643955
2024-09-01,PcpiRent,96.09,127.64898191960278
2024-12-01,PcpiRent,96.64,129.50117551436196
2010-03-01,Yhdi,214342,212116.77878456083
2010-06-01,Yhdi,216245,213327.08151842465
2010-09-01,Yhdi,221023,214963.56637360668
2010-12-01,Yhdi,227103,216377.01618397134
2011-03-01,Yhdi,232098,218312.57921964314
2011-06-01,Yhdi,233854,220250.67631612153
2011-09-01,Yhdi,237259,223969.26443772388
2011-12-01,Yhdi,241023,226187.16272793623
2012-03-01,Yhdi,240463,228189.18719724732
2012-06-01,Yhdi,245459,230370.61921776124
2012-09-01,Yhdi,242304,234736.73972400368
2012-12-01,Yhdi,246628,235490.03795903316
2013-03-01,Yhdi,250783,238530.7093173386
2013-06-01,Yhdi,252283,240295.4452321565
2013-09-01,Yhdi,255284,245802.26647967292
2013-12-01,Yhdi,259999,249794.43119383117
2014-03-01,Yhdi,263299,251727.91807957835
2014-06-01,Yhdi,267755,254220.11132230813
2014-09-01,Yhdi,269340,258404.10649323993
2014-12-01,Yhdi,272615,259517.15710101745
2015-03-01,Yhdi,273961,259745.93274810226
2015-06-01,Yhdi,277896,261777.2371002469
2015-09-01,Yhdi,279298,264352.4844521302
